Zeit [ms]	Uin A [V]	Uin B [V]
4.600000000	0.698407759	1.327629578
4.620000000	0.689646031	1.318867850
4.640000000	0.681208813	1.310430631
4.660000000	0.672771594	1.300695378
4.680000000	0.664658884	1.291933651
4.700000000	0.656221665	1.282522906
4.720000000	0.647459938	1.273112162
4.740000000	0.638698211	1.263701418
4.760000000	0.630260992	1.253966165
4.780000000	0.621823773	1.245204437
4.800000000	0.612737538	1.235793693
4.820000000	0.603651302	1.226058440
4.840000000	0.595538592	1.216647696
4.860000000	0.586452356	1.206912443
4.880000000	0.577690629	1.197501699
4.900000000	0.568928902	1.188090955
4.920000000	0.559518158	1.178355702
4.940000000	0.550431922	1.168620450
4.960000000	0.541994704	1.158885197
4.980000000	0.532908468	1.148825436
5.000000000	0.523497724	1.139090184
5.020000000	0.514411488	1.128705914
5.040000000	0.505325253	1.118970662
5.060000000	0.495914509	1.109235409
5.080000000	0.487152781	1.098526631
5.100000000	0.478066546	1.088466870
5.120000000	0.468980310	1.078082601
5.140000000	0.459569566	1.068671857
5.160000000	0.450483330	1.057963079
5.180000000	0.441072586	1.047578810
5.200000000	0.431986350	1.037519049
5.220000000	0.422900115	1.027134780
5.240000000	0.413164862	1.016750511
5.260000000	0.403429609	1.006366241
5.280000000	0.394992391	0.995981972
5.300000000	0.385581646	0.984948686
5.320000000	0.376170902	0.974564417
5.340000000	0.366760158	0.963855639
5.360000000	0.356375888	0.953471370
5.380000000	0.347938669	0.942762592
5.400000000	0.338203417	0.932378323
5.420000000	0.328468164	0.921345037
5.440000000	0.319706436	0.910311751
5.460000000	0.309971184	0.899602974
5.480000000	0.300884948	0.889218704
5.500000000	0.291474203	0.877860910
5.520000000	0.282063459	0.867152132
5.540000000	0.272003698	0.855794338
5.560000000	0.263566479	0.844761052
5.580000000	0.253506717	0.834052274
5.600000000	0.245069498	0.823018988
5.620000000	0.235658754	0.811661194
5.640000000	0.226248009	0.800627908
5.660000000	0.216837265	0.789594622
5.680000000	0.208075537	0.777912319
5.700000000	0.198664793	0.766879033
5.720000000	0.189578557	0.755521239
5.740000000	0.180816829	0.744163445
5.760000000	0.172055101	0.733130159
5.780000000	0.162644357	0.721447856
5.800000000	0.153882629	0.710090061
5.820000000	0.145445409	0.698732267
5.840000000	0.136683682	0.687049964
5.860000000	0.128246462	0.675692170
5.880000000	0.119809243	0.664009867
5.900000000	0.111372023	0.652327564
5.920000000	0.102934804	0.640969770
5.940000000	0.095471110	0.628962958
5.960000000	0.087358399	0.617280656
5.980000000	0.080543722	0.605273844
6.000000000	0.072755519	0.593591541
6.020000000	0.065940842	0.581260222
6.040000000	0.059126164	0.569577919
6.060000000	0.052311487	0.557895616
6.080000000	0.046470335	0.545888805
6.100000000	0.040304675	0.533557485
6.120000000	0.035112539	0.521226165
6.140000000	0.030569421	0.509219354
6.160000000	0.025052778	0.496239017
6.180000000	0.025701795	0.484232206
6.200000000	0.019536134	0.472225394
6.220000000	0.016615558	0.459569566
6.240000000	0.011098914	0.446589229
6.260000000	0.002661695	0.434582418
6.280000000	0.008178338	0.422251098
6.300000000	0.011098914	0.408621744
6.320000000	0.001039152	0.396290424
6.340000000	0.002986203	0.383310087
6.360000000	0.004284237	0.370329751
6.380000000	0.002012678	0.357998430
6.400000000	0.003959728	0.345018094
6.420000000	0.002012678	0.332037757
6.440000000	0.001363661	0.320030945
6.460000000	0.002986203	0.306077083
6.480000000	0.000390136	0.293745762
6.500000000	0.001039152	0.280440917
6.520000000	-0.002205932	0.267460580
6.540000000	0.000065627	0.254480243
6.560000000	0.002012678	0.241499906
6.580000000	0.001688169	0.228519568
6.600000000	0.002661695	0.214241197
6.620000000	-0.007722576	0.202234385
6.640000000	0.001363661	0.188929540
6.660000000	-0.005126508	0.175300186
6.680000000	-0.001881424	0.162968865
6.700000000	0.000390136	0.150637544
6.720000000	-0.000907898	0.136359173
6.740000000	-0.001232407	0.124027853
6.760000000	0.000065627	0.111047515
6.780000000	0.001688169	0.098716194
6.800000000	0.005582271	0.084437823
6.820000000	0.001039152	0.071781994
6.840000000	-0.000907898	0.057503622
6.860000000	0.002986203	0.045821318
6.880000000	0.003959728	0.033489997
6.900000000	0.001688169	0.018887117
6.920000000	-0.004477491	0.006231288
