Zeit [ms]	Uin A [V]	Uin B [V]
3.140000000	2.536099234	-0.006749050
3.150000000	2.619173439	-0.007722576
3.160000000	2.689591811	-0.008696101
3.170000000	2.749950419	-0.009345118
3.180000000	2.810958047	-0.010318643
3.190000000	2.851846140	-0.011941186
3.200000000	2.892734234	-0.012590202
3.210000000	2.927132155	-0.013888236
3.220000000	2.945629151	-0.014537253
3.230000000	2.960556552	-0.015186270
3.240000000	2.968344761	-0.015835287
3.250000000	2.965099674	-0.016484304
3.260000000	2.956662447	-0.017133321
3.270000000	2.937191925	-0.018431355
3.280000000	2.909284177	-0.018106846
3.290000000	2.878780361	-0.018755863
3.300000000	2.831077585	-0.018755863
3.310000000	2.776560129	-0.019404880
3.320000000	2.719771115	-0.019404880
3.330000000	2.642538060	-0.019729388
3.340000000	2.562708940	-0.019729388
3.350000000	2.471197515	-0.019404880
3.360000000	2.370924365	-0.019729388
3.370000000	2.263512032	-0.019404880
3.380000000	2.141496822	-0.019080371
3.390000000	2.009746365	-0.018431355
3.400000000	1.873452798	-0.018431355
3.410000000	1.720284797	-0.017782338
3.420000000	1.559004094	-0.017133321
3.430000000	1.395776348	-0.016159795
3.440000000	1.210157528	-0.015510779
3.450000000	1.019995595	-0.014861762
3.460000000	0.822694480	-0.014212745
3.470000000	0.615009097	-0.013239219
3.480000000	0.403105101	-0.012265694
3.490000000	0.184061913	-0.010967660
3.500000000	-0.041146946	-0.010318643
3.510000000	-0.265057788	-0.009020610
3.520000000	-0.500975465	-0.008047084
3.530000000	-0.736893169	-0.006749050
3.540000000	-0.963075648	-0.005451017
3.550000000	-1.207106138	-0.004477491
3.560000000	-1.440752394	-0.003503966
3.570000000	-1.661093836	-0.002205932
3.580000000	-1.887600993	-0.001232407
3.590000000	-2.100478827	0.000390136
3.600000000	-2.304594968	0.001688169
3.610000000	-2.501247449	0.002661695
3.620000000	-2.680700994	0.003635220
3.630000000	-2.855611452	0.005257762
3.640000000	-3.010077867	0.006231288
3.650000000	-3.139881603	0.007529321
3.660000000	-3.272605950	0.008827355
3.670000000	-3.379045055	0.009800881
3.680000000	-3.461470471	0.011098914
3.690000000	-3.541299822	0.011747931
3.700000000	-3.591923319	0.013045965
3.710000000	-3.628592906	0.013370473
3.720000000	-3.647738974	0.014343999
3.730000000	-3.645467406	0.015642033
3.740000000	-3.632162512	0.016291050
3.750000000	-3.602632136	0.016940066
3.760000000	-3.546167466	0.017913592
3.770000000	-3.488729273	0.017913592
3.780000000	-3.409548948	0.018562609
3.790000000	-3.303434347	0.018887117
3.800000000	-3.201213877	0.018887117
3.810000000	-3.070112092	0.019860642
3.820000000	-2.930248581	0.019536134
3.830000000	-2.784868442	0.020185151
3.840000000	-2.613527601	0.020185151
3.850000000	-2.451922070	0.020185151
3.860000000	-2.266627415	0.019536134
3.870000000	-2.067703425	0.019211626
3.880000000	-1.879812780	0.019211626
3.890000000	-1.678941820	0.018887117
3.900000000	-1.470282688	0.018887117
3.910000000	-1.270385328	0.018238100
3.920000000	-1.056858637	0.017264575
3.930000000	-0.847226082	0.016615558
3.940000000	-0.636944537	0.015966541
3.950000000	-0.420172846	0.015642033
3.960000000	-0.216057008	0.014668507
3.970000000	-0.011616677	0.013694982
3.980000000	0.193797166	0.012396948
3.990000000	0.384283613	0.011423423
4.000000000	0.576392595	0.010125389
4.010000000	0.767852559	0.009800881
4.020000000	0.943736118	0.008178338
4.030000000	1.120917712	0.007529321
4.040000000	1.289013075	0.005906779
4.050000000	1.447048681	0.004284237
4.060000000	1.603137244	0.003310712
4.070000000	1.744298424	0.002012678
4.080000000	1.883837069	0.001039152
4.090000000	2.018832603	0.000065627
4.100000000	2.133708618	-0.001556915
4.110000000	2.247286605	-0.002530441
4.120000000	2.355347953	-0.003828474
4.130000000	2.445885846	-0.005451017
4.140000000	2.536748252	-0.006100033
4.150000000	2.616252861	-0.007722576
4.160000000	2.686346725	-0.009020610
4.170000000	2.753844523	-0.009994135
4.180000000	2.807388452	-0.010643152
4.190000000	2.853793192	-0.011616677
4.200000000	2.899548917	-0.012265694
4.210000000	2.924211577	-0.013239219
4.220000000	2.946278169	-0.014537253
4.230000000	2.963801639	-0.015510779
4.240000000	2.967371235	-0.016159795
4.250000000	2.968344761	-0.016808812
4.260000000	2.957960482	-0.017457829
4.270000000	2.937516434	-0.018106846
4.280000000	2.915125334	-0.018431355
4.290000000	2.876184291	-0.018755863
4.300000000	2.831726602	-0.019080371
4.310000000	2.784997354	-0.019080371
4.320000000	2.717175046	-0.019404880
4.330000000	2.646107655	-0.019404880
4.340000000	2.568225586	-0.019729388
4.350000000	2.474442601	-0.019729388
4.360000000	2.377090027	-0.019404880
4.370000000	2.266757118	-0.019080371
4.380000000	2.143443874	-0.019080371
4.390000000	2.020130637	-0.018755863
4.400000000	1.877346899	-0.018106846
4.410000000	1.722880865	-0.017782338
4.420000000	1.571659924	-0.017133321
4.430000000	1.396100857	-0.016484304
4.440000000	1.214051629	-0.015835287
4.450000000	1.030379864	-0.015510779
4.460000000	0.827562106	-0.014537253
4.470000000	0.628313942	-0.013239219
4.480000000	0.413813879	-0.012265694
4.490000000	0.188605031	-0.011292169
4.500000000	-0.026219557	-0.009669626
4.510000000	-0.264084262	-0.009669626
4.520000000	-0.500326448	-0.008047084
4.530000000	-0.724237336	-0.006749050
4.540000000	-0.965996226	-0.005775525
4.550000000	-1.198668913	-0.004477491
4.560000000	-1.428096554	-0.003503966
4.570000000	-1.660120310	-0.002205932
4.580000000	-1.877216709	-0.000907898
4.590000000	-2.090743559	0.000065627
4.600000000	-2.301998896	0.001363661
4.610000000	-2.480803377	0.002661695
4.620000000	-2.674210811	0.003959728
4.630000000	-2.847498721	0.005257762
4.640000000	-2.996123966	0.006555796
4.650000000	-3.146371791	0.007529321
4.660000000	-3.265142233	0.008827355
4.670000000	-3.370283298	0.009476372
4.680000000	-3.468609681	0.010774406
4.690000000	-3.532213554	0.011747931
4.700000000	-3.586406656	0.012721457
4.710000000	-3.625672319	0.014019490
4.720000000	-3.639950743	0.014668507
4.730000000	-3.644493878	0.015317524
4.740000000	-3.633136040	0.015966541
4.750000000	-3.597439982	0.017264575
4.760000000	-3.553631187	0.017264575
4.770000000	-3.487431235	0.017913592
4.780000000	-3.403383267	0.018562609
4.790000000	-3.310573555	0.018887117
4.800000000	-3.193101142	0.019211626
4.810000000	-3.072059148	0.019536134
4.820000000	-2.938685822	0.019860642
4.830000000	-2.778053749	0.020185151
4.840000000	-2.621640329	0.019860642
4.850000000	-2.449650506	0.019536134
4.860000000	-2.268249960	0.019860642
4.870000000	-2.081008291	0.019536134
4.880000000	-1.882408851	0.019211626
4.890000000	-1.684782978	0.019211626
4.900000000	-1.480342458	0.018887117
4.910000000	-1.263570646	0.017913592
4.920000000	-1.057183146	0.017264575
4.930000000	-0.852093711	0.016615558
4.940000000	-0.638567080	0.015966541
4.950000000	-0.431855152	0.015317524
4.960000000	-0.221898160	0.014668507
4.970000000	-0.015835287	0.013370473
4.980000000	0.184386422	0.012721457
4.990000000	0.386879680	0.011747931
5.000000000	0.576392595	0.010449897
5.010000000	0.761362390	0.009476372
5.020000000	0.948279235	0.008502847
5.030000000	1.117023611	0.007204813
5.040000000	1.285767991	0.006231288
5.050000000	1.445101631	0.004933254
5.060000000	1.597945108	0.003959728
5.070000000	1.745596458	0.002337186
5.080000000	1.880916493	0.001363661
5.090000000	2.009746365	-0.000583390
5.100000000	2.137602720	-0.001232407
5.110000000	2.244041519	-0.002530441
5.120000000	2.348857782	-0.003828474
5.130000000	2.448806423	-0.005126508
5.140000000	2.533827674	-0.006424542
5.150000000	2.616252861	-0.007398067
5.160000000	2.687320251	-0.008696101
5.170000000	2.749625911	-0.009669626
5.180000000	2.808686487	-0.011292169
5.190000000	2.853144175	-0.011616677
5.200000000	2.892085217	-0.012914711
5.210000000	2.930052734	-0.013563728
5.220000000	2.946927186	-0.014537253
5.230000000	2.961854587	-0.015186270
5.240000000	2.969967304	-0.015835287
5.250000000	2.966397709	-0.016808812
5.260000000	2.959258517	-0.017457829
5.270000000	2.940112503	-0.017782338
5.280000000	2.912853773	-0.018431355
5.290000000	2.882998973	-0.019080371
5.300000000	2.834971689	-0.019404880
5.310000000	2.781427759	-0.019080371
5.320000000	2.723989727	-0.019404880
5.330000000	2.648379215	-0.019729388
5.340000000	2.569848129	-0.019729388
5.350000000	2.479634739	-0.019729388
5.360000000	2.377414536	-0.019729388
5.370000000	2.272273763	-0.019080371
5.380000000	2.150258553	-0.018755863
5.390000000	2.018508095	-0.018755863
5.400000000	1.886433137	-0.018431355
5.410000000	1.729046526	-0.017782338
5.420000000	1.570686399	-0.017133321
5.430000000	1.404862585	-0.016484304
5.440000000	1.220541797	-0.015510779
5.450000000	1.034598473	-0.014861762
5.460000000	0.836972850	-0.014212745
5.470000000	0.627664925	-0.013563728
5.480000000	0.423224623	-0.012265694
5.490000000	0.198340284	-0.011616677
5.500000000	-0.028491117	-0.009994135
5.510000000	-0.246236296	-0.009345118
5.520000000	-0.487995124	-0.007722576
5.530000000	-0.723588319	-0.007398067
5.540000000	-0.956260968	-0.005775525
5.550000000	-1.193801283	-0.004802000
5.560000000	-1.420632853	-0.003828474
5.570000000	-1.650385046	-0.002205932
5.580000000	-1.875269656	-0.001232407
5.590000000	-2.078087711	0.000065627
5.600000000	-2.291939117	0.001363661
